"theme";"sous_theme";"question";"bonne_reponse";"distracteur_1";"distracteur_2";"distracteur_3";"explication";"difficulte";"generalite";"note_verif"
"pokemon";"Gen 1";"Quels sont les trois Pokémon de départ proposés dans Pokémon Rouge et Bleu ?";"Bulbizarre, Salamèche et Carapuce";"Germignon, Héricendre et Kaiminus";"Arcko, Poussifeu et Gobou";"Tortipouss, Ouisticram et Tiplouf";"Ce sont les starters historiques de Kanto ; les autres trios correspondent aux générations suivantes.";"1";"2";""
"pokemon";"Gen 1";"Quel Pokémon porte le numéro 1 du Pokédex national ?";"Bulbizarre";"Pikachu";"Salamèche";"Mew";"Bulbizarre ouvre le Pokédex ; Pikachu, malgré sa célébrité, ne porte que le numéro 25.";"1";"2";""
"pokemon";"Gen 1";"Combien d'espèces de Pokémon compte le Pokédex de la première génération ?";"151";"150";"152";"251";"Il y a 151 Pokémon, de Bulbizarre à Mew ; 251 est le total atteint à la fin de la deuxième génération.";"1";"1";""
"pokemon";"Gen 1";"Sur quelle console Pokémon Rouge et Bleu sont-ils sortis en Europe en 1999 ?";"Game Boy";"Game Boy Color";"Game Boy Advance";"Nintendo 64";"Les premiers jeux Pokémon sont sortis sur la Game Boy originale, en noir et blanc.";"1";"1";""
"pokemon";"Gen 1";"Dans quelle ville commence l'aventure de Pokémon Rouge et Bleu ?";"Bourg Palette";"Jadielle";"Argenta";"Azuria";"Le héros quitte Bourg Palette, son village natal, après avoir reçu son premier Pokémon du Professeur Chen.";"1";"2";""
"pokemon";"Gen 1";"Quel professeur remet son premier Pokémon au joueur dans la région de Kanto ?";"Le Professeur Chen";"Le Professeur Orme";"Le Professeur Seko";"Le Professeur Sorbier";"Le Professeur Chen étudie les Pokémon à Bourg Palette ; les autres officient à Johto, Hoenn et Sinnoh.";"1";"2";""
"pokemon";"Gen 1";"Quel est le premier champion d'arène affronté dans Pokémon Rouge et Bleu ?";"Pierre";"Ondine";"Major Bob";"Erika";"Pierre, spécialiste du type Roche, défend l'arène d'Argenta avec son célèbre Onix.";"1";"2";""
"pokemon";"Gen 1";"Quel type de Pokémon Ondine, la championne d'Azuria, utilise-t-elle ?";"Eau";"Plante";"Psy";"Glace";"Ondine est la spécialiste du type Eau, avec notamment son redoutable Staross.";"1";"2";""
"pokemon";"mécaniques";"Combien de badges d'arène faut-il réunir pour accéder à la Ligue Pokémon ?";"Huit";"Six";"Sept";"Dix";"Huit badges sont nécessaires dans chaque région pour affronter le Conseil 4 et le Maître de la Ligue.";"1";"1";""
"pokemon";"Gen 1";"Quelle organisation criminelle le joueur combat-il tout au long de Pokémon Rouge et Bleu ?";"La Team Rocket";"La Team Aqua";"La Team Magma";"La Team Galaxie";"La Team Rocket, dirigée par Giovanni, vole des Pokémon à travers tout Kanto.";"1";"1";""
"pokemon";"Gen 1";"Quelle est l'évolution finale de Salamèche ?";"Dracaufeu";"Reptincel";"Tortank";"Florizarre";"Salamèche évolue en Reptincel au niveau 16, puis en Dracaufeu, de type Feu et Vol, au niveau 36.";"1";"1";""
"pokemon";"Gen 1";"Quel objet permet de réveiller les Ronflex qui bloquent les routes de Kanto ?";"La Pokéflûte";"Le Scope Sylphe";"Le Passe Bateau";"La Clé Secrète";"La Pokéflûte, offerte par M. Fuji à Lavanville, est le seul moyen de réveiller un Ronflex endormi.";"2";"3";""
"pokemon";"Gen 1";"Quel Pokémon légendaire attend le joueur au fond de la Caverne Azurée ?";"Mewtwo";"Mew";"Artikodin";"Électhor";"Mewtwo, le Pokémon le plus puissant du jeu, n'est accessible qu'après la victoire à la Ligue.";"2";"3";""
"pokemon";"Gen 1";"Quel Pokémon de départ est imposé au joueur dans Pokémon Jaune ?";"Pikachu";"Évoli";"Bulbizarre";"Rondoudou";"Inspirée du dessin animé, la version Jaune impose Pikachu, qui suit le joueur et refuse d'évoluer.";"1";"1";""
"pokemon";"Gen 1";"Lequel de ces oiseaux légendaires de Kanto est de type Glace ?";"Artikodin";"Électhor";"Sulfura";"Roucarnage";"Artikodin est l'oiseau de glace ; Électhor est électrique et Sulfura est de type Feu.";"2";"3";""
"pokemon";"Gen 2";"Comment s'appelle la région explorée dans Pokémon Or et Argent ?";"Johto";"Kanto";"Hoenn";"Sinnoh";"Johto, inspirée de la région du Kansai au Japon, est voisine et contemporaine de Kanto.";"1";"2";""
"pokemon";"Gen 2";"Quel Pokémon légendaire orne la jaquette de Pokémon Or ?";"Ho-Oh";"Lugia";"Suicune";"Célébi";"Ho-Oh, le phénix arc-en-ciel, est la mascotte de la version Or ; Lugia illustre la version Argent.";"2";"3";""
"pokemon";"Gen 2";"Quels sont les trois Pokémon de départ de la région de Johto ?";"Germignon, Héricendre et Kaiminus";"Bulbizarre, Salamèche et Carapuce";"Arcko, Poussifeu et Gobou";"Tortipouss, Ouisticram et Tiplouf";"Le Professeur Orme confie l'un de ces trois Pokémon au tout début d'Or et Argent.";"2";"3";""
