theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif
seigneur_des_anneaux;Production;Qui a réalisé la trilogie du Seigneur des anneaux ?;Peter Jackson;George Lucas;Steven Spielberg;Guillermo del Toro;Peter Jackson a réalisé et co-écrit les trois films, tournés de front en Nouvelle-Zélande.;1;2;
seigneur_des_anneaux;Production;Dans quel pays la trilogie a-t-elle été tournée ?;La Nouvelle-Zélande;L’Irlande;L’Écosse;Le Canada;Les paysages néo-zélandais servent de décor à la Terre du Milieu et ont dopé le tourisme du pays.;1;2;
seigneur_des_anneaux;Intrigue;Quel objet Frodon doit-il détruire ?;L’Anneau unique;Le Silmaril;Le sceptre d’Annúminas;L’Arkenstone;L’Anneau unique forgé par Sauron doit être jeté dans la Montagne du Destin pour être détruit.;1;1;
seigneur_des_anneaux;Peuples;À quel peuple appartient Frodon ?;Les Hobbits;Les Nains;Les Elfes;Les Ents;Les Hobbits sont un petit peuple pacifique de la Comté, connu pour ses pieds velus.;1;1;
seigneur_des_anneaux;Intrigue;Où l’Anneau unique doit-il être détruit ?;Dans la Montagne du Destin;Dans les mines de la Moria;Dans le fleuve Anduin;Au sommet du Caradhras;Seules les flammes de la Montagne du Destin, où il fut forgé, peuvent détruire l’Anneau.;1;2;
seigneur_des_anneaux;Personnages;Quelle créature suit Frodon en appelant l’Anneau « mon trésor » ?;Gollum;Saroumane;Le Roi-Sorcier;Grima;Gollum, ancien porteur de l’Anneau, est rongé par son obsession pour son « trésor ».;1;2;
seigneur_des_anneaux;Production;Combien de films compte la trilogie du Seigneur des anneaux ?;Trois;Deux;Quatre;Cinq;La trilogie compte trois films sortis entre 2001 et 2003.;1;1;
seigneur_des_anneaux;Production;De quel écrivain les films sont-ils adaptés ?;J.R.R. Tolkien;C.S. Lewis;George R.R. Martin;Terry Pratchett;Le roman de J.R.R. Tolkien, publié en 1954-1955, est l’œuvre source de la trilogie.;1;2;
seigneur_des_anneaux;Lieux;Dans quelle région paisible vivent les Hobbits ?;La Comté;Le Pays de Bree;La Lothlórien;Le Rohan;La Comté est la contrée verdoyante où vivent Frodon, Sam et les autres Hobbits.;1;2;
seigneur_des_anneaux;Production;Quel est le titre du premier film de la trilogie ?;La Communauté de l’Anneau;Les Deux Tours;Le Retour du roi;La Quête de l’Anneau;La Communauté de l’Anneau, sorti en 2001, ouvre la trilogie.;1;2;
