"theme";"sous_theme";"question";"bonne_reponse";"distracteur_1";"distracteur_2";"distracteur_3";"explication";"difficulte";"generalite";"note_verif"
"film_horreur";"classiques 60-70";"Qui a réalisé Psychose, sorti en 1960 ?";"Alfred Hitchcock";"Orson Welles";"Billy Wilder";"Fritz Lang";"Psychose, adapté du roman de Robert Bloch, est devenu le film le plus rentable de la carrière d'Hitchcock.";"1";"1";""
"film_horreur";"classiques 60-70";"Où se déroule la scène de meurtre la plus célèbre de Psychose ?";"Sous la douche";"Dans la cave";"Dans la cuisine";"Dans le garage";"La scène de la douche, environ 45 secondes et des dizaines de plans, reste l'une des plus étudiées du cinéma.";"1";"1";""
"film_horreur";"slashers";"Quel tueur masqué traque la baby-sitter Laurie dans Halloween (1978) ?";"Michael Myers";"Freddy Krueger";"Ghostface";"Pinhead";"Michael Myers, dit « la Forme » au générique, revient dans sa ville natale la nuit d'Halloween.";"1";"1";""
"film_horreur";"slashers";"Quel tueur au masque de hockey est associé à la saga Vendredi 13 ?";"Jason Voorhees";"Freddy Krueger";"Chucky";"Ghostface";"Jason Voorhees et son masque de hockey sont devenus l'un des symboles du slasher des années 80.";"1";"1";""
"film_horreur";"slashers";"Où Freddy Krueger attaque-t-il ses victimes dans Les Griffes de la nuit ?";"Dans leurs rêves";"Dans les miroirs";"Dans l'obscurité totale";"Dans l'eau";"Freddy tue les adolescents dans leurs rêves : mourir en rêve signifie mourir pour de vrai.";"1";"1";""
"film_horreur";"slashers";"Quelle arme emblématique porte Freddy Krueger ?";"Un gant à lames";"Une tronçonneuse";"Une machette";"Un crochet";"Son gant en cuir aux lames de rasoir a été conçu par Wes Craven comme une arme primitive et animale.";"1";"1";""
"film_horreur";"Kubrick/King";"Quel acteur incarne Jack Torrance dans Shining (1980) ?";"Jack Nicholson";"Robert De Niro";"Al Pacino";"Harrison Ford";"Jack Nicholson livre l'une de ses performances les plus célèbres, dont la scène culte de la porte défoncée à la hache.";"1";"1";""
"film_horreur";"créatures";"Qui a réalisé Les Dents de la mer (1975) ?";"Steven Spielberg";"George Lucas";"Robert Zemeckis";"John McTiernan";"Ce tournage cauchemardesque au requin mécanique capricieux a inventé le blockbuster d'été moderne.";"1";"1";""
"film_horreur";"Kubrick/King";"Quel réalisateur a adapté Shining au cinéma en 1980 ?";"Stanley Kubrick";"Roman Polanski";"Brian De Palma";"Milos Forman";"Kubrick a livré une adaptation très libre du roman, au point que Stephen King l'a longtemps désavouée.";"2";"2";""
"film_horreur";"possession";"Comment s'appelle la fillette possédée dans L'Exorciste (1973) ?";"Regan";"Carrie";"Samara";"Emily";"Regan MacNeil, 12 ans, est incarnée par Linda Blair, dont l'interprétation lui a valu une nomination aux Oscars.";"2";"2";""
"film_horreur";"SF-horreur";"Qui a réalisé Alien, le huitième passager (1979) ?";"Ridley Scott";"James Cameron";"David Fincher";"Paul Verhoeven";"Ridley Scott signe le film fondateur de la saga ; Cameron et Fincher réaliseront les suites.";"2";"2";""
"film_horreur";"SF-horreur";"Quelle actrice incarne Ellen Ripley dans Alien ?";"Sigourney Weaver";"Jamie Lee Curtis";"Linda Hamilton";"Jodie Foster";"Le rôle de Ripley a fait de Sigourney Weaver l'une des premières héroïnes d'action du cinéma.";"2";"2";""
"film_horreur";"slashers";"Quel tueur à la tronçonneuse porte un masque de peau humaine ?";"Leatherface";"Pinhead";"Candyman";"Ghostface";"Leatherface, inspiré du criminel réel Ed Gein, terrorise le Texas dans Massacre à la tronçonneuse.";"2";"2";""
"film_horreur";"adaptations King";"Quel écrivain est l'auteur du roman Carrie, adapté au cinéma en 1976 ?";"Stephen King";"Peter Straub";"Dean Koontz";"Richard Matheson";"Carrie est le premier roman publié de Stephen King et la première adaptation de son œuvre au cinéma.";"2";"2";""
"film_horreur";"créatures";"Quel animal terrorise la station balnéaire d'Amity dans Les Dents de la mer ?";"Un grand requin blanc";"Un orque tueur";"Un crocodile marin";"Un calmar géant";"Le requin mécanique, surnommé Bruce par l'équipe, fonctionnait si mal que Spielberg l'a filmé le moins possible.";"1";"1";""
"film_horreur";"slashers";"Dans Jeu d'enfant (1988), quel jouet est possédé par l'esprit d'un tueur ?";"Une poupée nommée Chucky";"Un ours en peluche";"Un pantin de ventriloque";"Un robot jouet";"Le tueur Charles Lee Ray transfère son âme dans une poupée Brave Gars, donnant naissance à Chucky.";"1";"1";""
"film_horreur";"créatures";"Dans Gremlins (1984), quelle adorable créature est à l'origine des gremlins ?";"Un mogwaï";"Un gremlin";"Un troll";"Un farfadet";"Gizmo est un mogwaï : mouillé, il se multiplie, et ses rejetons nourris après minuit deviennent des gremlins.";"2";"2";""
"film_horreur";"body horror";"Quel acteur incarne le scientifique Seth Brundle dans La Mouche (1986) ?";"Jeff Goldblum";"Jeff Bridges";"John Lithgow";"Christopher Walken";"Jeff Goldblum se transforme progressivement en hybride homme-mouche après une expérience de téléportation ratée.";"2";"2";""
"film_horreur";"zombies";"Quel réalisateur a inventé le film de zombies moderne avec La Nuit des morts-vivants (1968) ?";"George A. Romero";"Wes Craven";"John Landis";"Lucio Fulci";"Tourné en noir et blanc avec un petit budget, le film de Romero a posé toutes les règles du genre zombie.";"2";"2";""
"film_horreur";"démons";"Quel héros à la tronçonneuse affronte les forces démoniaques dans la saga Evil Dead ?";"Ash Williams";"Herbert West";"Frank Cotton";"Louis Creed";"Ash, incarné par Bruce Campbell, est devenu un personnage culte, jusqu'à la série Ash vs Evil Dead.";"2";"3";""
"film_horreur";"classiques 60-70";"Quel acteur incarne Norman Bates dans Psychose (1960) ?";"Anthony Perkins";"Anthony Hopkins";"Roddy McDowall";"Dennis Hopper";"Anthony Perkins est resté associé à ce rôle toute sa carrière, reprenant Norman Bates dans trois suites.";"3";"3";""
"film_horreur";"classiques 60-70";"Quelle actrice tient le rôle de Marion Crane dans Psychose ?";"Janet Leigh";"Tippi Hedren";"Kim Novak";"Grace Kelly";"Janet Leigh, nommée aux Oscars pour ce rôle, est la mère de Jamie Lee Curtis, future reine du slasher.";"3";"3";""
"film_horreur";"slashers";"Quel personnage Jamie Lee Curtis incarne-t-elle dans Halloween (1978) ?";"Laurie Strode";"Nancy Thompson";"Sidney Prescott";"Ellen Ripley";"Laurie Strode a fait de Jamie Lee Curtis l'archétype de la « final girl » du cinéma d'horreur.";"3";"3";""
"film_horreur";"slashers";"Qui a composé le célèbre thème musical d'Halloween (1978) ?";"John Carpenter";"Ennio Morricone";"John Williams";"Jerry Goldsmith";"John Carpenter, également réalisateur du film, a composé ce thème minimaliste au piano en quelques jours.";"3";"3";""
"film_horreur";"possession";"Qui a réalisé L'Exorciste (1973) ?";"William Friedkin";"Roman Polanski";"Brian De Palma";"John Boorman";"William Friedkin, auréolé de l'Oscar pour French Connection, a imposé un tournage éprouvant resté légendaire. John Boorman réalisera la suite.";"3";"3";""
"film_horreur";"possession";"Quel acteur incarne le père Merrin dans L'Exorciste ?";"Max von Sydow";"Jason Miller";"Peter Cushing";"Christopher Lee";"Max von Sydow, 44 ans à peine, a été vieilli par le maquillage pour incarner le vieil exorciste ; Jason Miller joue le père Karras.";"3";"4";""
"film_horreur";"SF-horreur";"Comment s'appelle le vaisseau spatial d'Alien (1979) ?";"Le Nostromo";"Le Sulaco";"L'Event Horizon";"Le Discovery One";"Le remorqueur spatial Nostromo tire son nom d'un roman de Joseph Conrad, clin d'œil littéraire de Ridley Scott.";"3";"4";""
"film_horreur";"SF-horreur";"Quel artiste a conçu le design du xénomorphe d'Alien ?";"H.R. Giger";"Stan Winston";"Rob Bottin";"Rick Baker";"Le plasticien suisse H.R. Giger a imaginé la créature « biomécanique » à partir de son œuvre Necronom IV.";"3";"4";""
"film_horreur";"Kubrick/King";"Dans le film Shining (1980), quelle chambre de l'hôtel Overlook est interdite ?";"La chambre 237";"La chambre 217";"La chambre 337";"La chambre 137";"Kubrick a changé la chambre 217 du roman en 237, à la demande de l'hôtel qui a servi de décor extérieur.";"3";"4";""
"film_horreur";"maisons hantées";"Quel réalisateur est crédité à la mise en scène de Poltergeist (1982) ?";"Tobe Hooper";"Wes Craven";"Joe Dante";"Sam Raimi";"Officiellement réalisé par Tobe Hooper, le film reste entouré d'une rumeur tenace : Steven Spielberg, producteur et scénariste, en aurait dirigé une grande partie.";"3";"4";""
"film_horreur";"body horror";"Quel réalisateur canadien est considéré comme le maître du « body horror » ?";"David Cronenberg";"Guillermo del Toro";"Paul Verhoeven";"Terry Gilliam";"De Frissons à La Mouche en passant par Videodrome, David Cronenberg a bâti son œuvre sur la mutation des corps.";"3";"4";""
"film_horreur";"démons";"Quel écrivain a lui-même réalisé Hellraiser (1987), adapté de son roman ?";"Clive Barker";"Peter Straub";"Dean Koontz";"Richard Matheson";"Clive Barker a adapté son propre livre The Hellbound Heart, donnant naissance à Pinhead et aux Cénobites.";"3";"4";""
"film_horreur";"zombies";"Dans quel lieu les survivants de Zombie (1978) de Romero se réfugient-ils ?";"Dans un centre commercial";"Dans un hôpital";"Dans une base militaire";"Dans un aéroport";"Le centre commercial de Zombie sert de satire de la société de consommation : les morts y errent comme des clients.";"3";"4";""
"film_horreur";"adaptations King";"Dans Christine (1983), quel modèle de voiture est possédé ?";"Une Plymouth Fury";"Une Chevrolet Bel Air";"Une Ford Mustang";"Une Cadillac Eldorado";"La Plymouth Fury 1958 rouge et blanche tue quiconque s'en prend à elle ou à son propriétaire.";"3";"4";""
"film_horreur";"giallo";"Quel réalisateur italien a signé Suspiria (1977) ?";"Dario Argento";"Mario Bava";"Lucio Fulci";"Ruggero Deodato";"Suspiria, avec ses couleurs saturées et son école de danse maudite, est le film le plus célèbre de Dario Argento.";"3";"4";""
"film_horreur";"classiques 60-70";"Quel produit a servi de faux sang dans la scène de la douche de Psychose ?";"Du sirop de chocolat";"De la peinture rouge diluée";"Du ketchup";"Du sang de bœuf";"Le film étant en noir et blanc, le sirop de chocolat offrait une texture et un contraste parfaits à l'écran.";"4";"4";""
"film_horreur";"slashers";"De quel masque du commerce est issu le visage blanc de Michael Myers ?";"Un masque du capitaine Kirk (William Shatner)";"Un masque de Mister Spock (Leonard Nimoy)";"Un masque d'Elvis Presley";"Un masque de Richard Nixon";"Faute de budget, l'équipe a acheté un masque de William Shatner à 2 dollars, peint en blanc et aux yeux découpés.";"4";"4";""
"film_horreur";"slashers";"Dans quelle ville fictive de l'Illinois se déroule Halloween ?";"Haddonfield";"Springwood";"Derry";"Woodsboro";"Haddonfield doit son nom à la ville natale de la coscénariste Debra Hill, dans le New Jersey.";"4";"5";""
"film_horreur";"slashers";"Quelle future star du cinéma fait ses débuts à l'écran dans Les Griffes de la nuit (1984) ?";"Johnny Depp";"Kevin Bacon";"Tom Cruise";"Brad Pitt";"Johnny Depp, alors inconnu, y joue Glen, le petit ami de l'héroïne Nancy, victime d'une scène culte.";"4";"4";""
"film_horreur";"slashers";"Dans quel épisode de Vendredi 13 Jason adopte-t-il son célèbre masque de hockey ?";"Le troisième";"Le premier";"Le deuxième";"Le quatrième";"Jason ne récupère son masque de hockey que dans Meurtres en trois dimensions (1982) ; auparavant, il porte un sac de toile.";"4";"5";""
