theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif
super_heros;MCU;Quel acteur incarne Tony Stark / Iron Man dans l'univers Marvel (MCU) ?;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Jeremy Renner;Robert Downey Jr. a lancé le MCU avec « Iron Man » en 2008 et a tenu le rôle jusqu'à « Endgame ».;1;1;
super_heros;MCU;Quel est le tout premier film de l'univers cinématographique Marvel (MCU), sorti en 2008 ?;Iron Man;Thor;Captain America: First Avenger;Les Avengers;"« Iron Man » (mai 2008) inaugure le MCU ; « L'Incroyable Hulk », deux mois plus tard, en est le deuxième film.";2;2;
super_heros;MCU;Quelle équipe de super-héros se rassemble dans le film de 2012 réalisé par Joss Whedon ?;Les Avengers;Les Gardiens de la Galaxie;La Justice League;Les X-Men;« Avengers » (2012) réunit pour la première fois Iron Man, Captain America, Thor et Hulk à l'écran.;1;1;
super_heros;MCU;De quel métal fictif est fait le bouclier de Captain America dans le MCU ?;Le vibranium;L'adamantium;L'uru;Le mithril;"Le vibranium provient du Wakanda ; l'adamantium est associé à Wolverine et l'uru au marteau de Thor.";3;3;
super_heros;MCU;Quel personnage claque des doigts pour anéantir la moitié de l'univers dans « Avengers: Infinity War » ?;Thanos;Ultron;Ronan;Kang;Thanos réunit les six Pierres d'Infinité pour réaliser le « claquement » (le Snap).;1;1;
super_heros;MCU;Combien de Pierres d'Infinité existe-t-il au total dans le MCU ?;6;5;7;4;Les six Pierres sont : Espace, Réalité, Pouvoir, Esprit, Temps et Âme.;3;3;
super_heros;MCU;Comment se nomme le marteau de Thor dans les films Marvel ?;Mjölnir;Stormbreaker;Gungnir;Hofund;"Mjölnir est le marteau originel ; Stormbreaker est la hache que Thor forge dans « Infinity War ».";3;2;
super_heros;MCU;De quel royaume Thor est-il originaire ?;Asgard;Wakanda;Xandar;Sakaar;Asgard est le royaume gouverné par Odin, père de Thor.;1;1;
super_heros;MCU;De quel pays fictif Black Panther est-il le souverain ?;Le Wakanda;La Sokovie;La Latvérie;Genosha;Le Wakanda est une nation africaine cachée, riche en vibranium.;1;2;
super_heros;MCU;Quel acteur incarne T'Challa / Black Panther dans le MCU ?;Chadwick Boseman;Michael B. Jordan;Winston Duke;Daniel Kaluuya;Chadwick Boseman a joué T'Challa de 2016 jusqu'à sa mort en 2020.;2;2;
super_heros;MCU;Qui a réalisé « Black Panther » (2018) ?;Ryan Coogler;Ava DuVernay;Barry Jenkins;F. Gary Gray;Ryan Coogler a coécrit et réalisé le film, premier film de super-héros nommé à l'Oscar du meilleur film.;4;3;
super_heros;MCU;Quel personnage des Gardiens de la Galaxie ne dit que « I am Groot » ?;Groot;Rocket;Drax;Yondu;Groot est un humanoïde végétal dont chaque phrase se limite à ces trois mots.;1;1;
super_heros;MCU;Quel Gardien de la Galaxie est un raton laveur génétiquement modifié ?;Rocket;Groot;Cosmo;Howard;Rocket est un maître en armes et en pilotage, doublé par Bradley Cooper.;2;2;
super_heros;MCU;Quel est le vrai nom de Star-Lord, chef des Gardiens de la Galaxie ?;Peter Quill;Peter Parker;Scott Lang;Kraglin;Peter Quill, enlevé de la Terre enfant, garde un walkman de sa mère.;3;2;
super_heros;MCU;Quel métier exerçait le docteur Stephen Strange avant de devenir le Docteur Strange ?;Neurochirurgien;Avocat;Archéologue;Ingénieur;Un accident de voiture détruit ses mains de chirurgien et le pousse vers la magie.;3;3;
super_heros;MCU;Quel acteur incarne le Docteur Strange dans le MCU ?;Benedict Cumberbatch;Benedict Wong;Ewan McGregor;Martin Freeman;Benedict Wong joue Wong, allié du Docteur Strange, dans les mêmes films.;2;2;
super_heros;MCU;Quel est le vrai nom du héros incarné par Paul Rudd dans « Ant-Man » ?;Scott Lang;Hank Pym;Darren Cross;Hope van Dyne;"Scott Lang est un ex-cambrioleur ; Hank Pym, l'Ant-Man d'origine, lui transmet le costume.";3;3;
super_heros;MCU;Quelle actrice incarne Captain Marvel (Carol Danvers) ?;Brie Larson;Scarlett Johansson;Elizabeth Olsen;Zoe Saldana;Brie Larson joue le rôle depuis « Captain Marvel » (2019).;2;2;
super_heros;MCU;Quelle actrice incarne Wanda Maximoff, la Sorcière Rouge ?;Elizabeth Olsen;Brie Larson;Cobie Smulders;Karen Gillan;Elizabeth Olsen tient le rôle depuis « Avengers: L'Ère d'Ultron » (2015).;3;3;
super_heros;MCU;Quel lien de parenté unit Loki à Thor dans les films Marvel ?;Frère adoptif;Père;Cousin;Oncle;Loki est un Géant des glaces recueilli et élevé par Odin aux côtés de Thor.;1;1;
super_heros;MCU;Quel acteur incarne Loki dans le MCU ?;Tom Hiddleston;Tom Holland;Tom Hardy;Chris Hemsworth;Tom Hiddleston joue le dieu de la malice depuis « Thor » (2011).;2;2;
super_heros;MCU;Quel acteur joue Spider-Man dans l'univers Marvel (MCU) ?;Tom Holland;Andrew Garfield;Tobey Maguire;Tom Hiddleston;Tom Holland apparaît d'abord dans « Captain America: Civil War » (2016).;1;1;
super_heros;MCU;Qui devient le mentor de Peter Parker dans le MCU ?;Tony Stark;Nick Fury;Steve Rogers;Happy Hogan;Tony Stark recrute et équipe le jeune Spider-Man dès « Civil War ».;2;2;
super_heros;MCU;Quel directeur borgne du S.H.I.E.L.D. réunit les Avengers ?;Nick Fury;Phil Coulson;Thaddeus Ross;Alexander Pierce;Nick Fury porte un cache-œil et initie l'« Initiative Avengers ».;2;2;
super_heros;MCU;Quel acteur incarne Nick Fury dans les films Marvel ?;Samuel L. Jackson;Laurence Fishburne;Idris Elba;Don Cheadle;Samuel L. Jackson joue Fury depuis la scène post-générique d'« Iron Man ».;2;1;
super_heros;MCU;Quel scientifique se transforme en Hulk lorsqu'il s'énerve ?;Bruce Banner;Reed Richards;Hank Pym;Erik Selvig;Une exposition aux rayons gamma déclenche la transformation de Bruce Banner.;1;1;
super_heros;MCU;Quel acteur incarne Hulk / Bruce Banner depuis « Avengers » (2012) ?;Mark Ruffalo;Edward Norton;Eric Bana;Lou Ferrigno;Edward Norton l'avait joué en 2008 avant que Mark Ruffalo ne reprenne le rôle.;3;3;
super_heros;MCU;Quels réalisateurs ont dirigé « Infinity War » et « Endgame » ?;Les frères Russo;Joss Whedon;Jon Watts;Taika Waititi;Anthony et Joe Russo ont également réalisé deux films Captain America.;4;3;
super_heros;MCU;Qui a réalisé « Thor: Ragnarok » (2017) ?;Taika Waititi;Kenneth Branagh;Alan Taylor;James Gunn;"Taika Waititi imprime un ton comique ; Branagh et Taylor ont dirigé les deux premiers « Thor ».";4;3;
super_heros;MCU;Sur quelle planète-décharge Thor affronte Hulk dans une arène (« Ragnarok ») ?;Sakaar;Xandar;Knowhere;Morag;Sakaar est dirigée par le Grand Maître, incarné par Jeff Goldblum.;4;4;
super_heros;MCU;Quel acteur incarne Ego, le père de Star-Lord, dans « Les Gardiens de la Galaxie Vol. 2 » ?;Kurt Russell;Michael Douglas;Jeff Goldblum;Sylvester Stallone;Ego est une Céleste, une entité cosmique se faisant passer pour un homme.;4;4;
super_heros;MCU;Qui a réalisé les trois films « Les Gardiens de la Galaxie » ?;James Gunn;Taika Waititi;Peyton Reed;Scott Derrickson;James Gunn a ensuite pris la tête de l'univers DC au cinéma.;4;3;
super_heros;MCU;Quel personnage à supervitesse meurt en sauvant Hawkeye dans « Avengers: L'Ère d'Ultron » ?;Vif-Argent;Vision;Ultron;La Sorcière Rouge;Pietro Maximoff (Vif-Argent) est le frère jumeau de Wanda.;4;3;
super_heros;MCU;Quelle Pierre d'Infinité est enchâssée dans le front de Vision ?;La Pierre de l'Esprit;La Pierre du Temps;La Pierre de l'Espace;La Pierre de la Réalité;La Pierre de l'Esprit provient du sceptre de Loki et donne vie à Vision.;4;4;
super_heros;MCU;Quel est le vrai nom de Captain America ?;Steve Rogers;Bucky Barnes;Sam Wilson;John Walker;Steve Rogers reçoit le sérum du super-soldat pendant la Seconde Guerre mondiale.;1;1;
super_heros;MCU;Quel ami d'enfance de Captain America devient le Soldat de l'Hiver ?;Bucky Barnes;Sam Wilson;Clint Barton;Brock Rumlow;Capturé et manipulé par Hydra, Bucky devient un assassin au bras métallique.;3;3;
super_heros;MCU;À qui Steve Rogers confie-t-il le bouclier de Captain America à la fin d'« Endgame » ?;Sam Wilson;Bucky Barnes;James Rhodes;John Walker;Sam Wilson (Faucon) devient le nouveau Captain America.;3;3;
super_heros;MCU;Quelle réplique accompagne le salut wakandais bras croisés dans « Black Panther » ?;« Wakanda forever »;« Avengers, rassemblement »;« Excelsior »;« Je suis Iron Man »;Ce cri de ralliement est devenu emblématique de la saga Black Panther.;2;2;
super_heros;MCU;Combien d'années s'écoulent entre le « claquement » de Thanos et le début de la partie principale d'« Endgame » ?;5 ans;3 ans;10 ans;1 an;Ce saut de cinq ans laisse un monde traumatisé avant le « Braquage temporel ».;3;3;
super_heros;MCU;Quel objet Thanos utilise-t-il pour porter et canaliser les Pierres d'Infinité ?;Le Gantelet de l'Infini;Le Sceptre;L'Œil d'Agamotto;La Tesseract;Le Gantelet de l'Infini est forgé par Eitri sur Nidavellir.;3;3;
super_heros;Spider-Man;Quel acteur incarne Spider-Man dans la trilogie de Sam Raimi débutée en 2002 ?;Tobey Maguire;Andrew Garfield;Tom Holland;Nicholas Hammond;Tobey Maguire a porté le costume dans les trois films Raimi (2002-2007).;2;2;
super_heros;Spider-Man;Qui a réalisé la trilogie « Spider-Man » sortie entre 2002 et 2007 ?;Sam Raimi;Marc Webb;Jon Watts;Bryan Singer;Marc Webb réalisera ensuite le reboot « The Amazing Spider-Man ».;4;3;
super_heros;Spider-Man;Quel super-vilain affronte Spider-Man dans le premier film de Sam Raimi (2002) ?;Le Bouffon Vert;Docteur Octopus;L'Homme-Sable;Le Lézard;"Le Bouffon Vert (Norman Osborn) est joué par Willem Dafoe ; Doc Ock arrive dans le second film.";2;2;
super_heros;Spider-Man;Quel acteur incarne Spider-Man dans « The Amazing Spider-Man » (2012) ?;Andrew Garfield;Tobey Maguire;Tom Holland;Logan Lerman;Andrew Garfield joue Peter Parker dans les deux films de Marc Webb.;3;2;
super_heros;Spider-Man;Quel oncle de Peter Parker meurt et lui inspire sa devise sur la responsabilité ?;Oncle Ben;Oncle Jack;Oncle Max;Oncle Ted;« Un grand pouvoir implique de grandes responsabilités » est associé à la mort de l'oncle Ben.;2;2;
super_heros;Spider-Man;Quel acteur, futur Venom, incarnait déjà un rival de Peter Parker dans « Spider-Man 3 » (2007) ?;Topher Grace;Tom Hardy;Riz Ahmed;Woody Harrelson;"Topher Grace jouait Eddie Brock / Venom ; Tom Hardy reprendra le rôle en 2018.";4;4;
super_heros;X-Men;Quel acteur incarne Wolverine dans la saga X-Men au cinéma ?;Hugh Jackman;Patrick Stewart;Ryan Reynolds;Liev Schreiber;Hugh Jackman a joué Wolverine pendant dix-sept ans, de 2000 à 2017.;1;1;
super_heros;X-Men;De quel métal est recouvert le squelette de Wolverine ?;L'adamantium;Le vibranium;L'uru;Le béryllium;L'adamantium, un alliage indestructible, renforce aussi ses griffes.;3;3;
super_heros;X-Men;Quel acteur incarne le Professeur Xavier dans les premiers films X-Men (2000) ?;Patrick Stewart;Ian McKellen;Michael Fassbender;James McAvoy;"Ian McKellen joue Magneto ; James McAvoy incarnera le jeune Xavier dans les préquelles.";3;2;
super_heros;X-Men;Quel acteur incarne Magneto dans la trilogie X-Men originale (2000-2006) ?;Ian McKellen;Michael Fassbender;Patrick Stewart;Hugh Jackman;Michael Fassbender reprendra le rôle du jeune Magneto dans « Le Commencement ».;3;3;
super_heros;X-Men;Qui a réalisé « X-Men » (2000) et « X-Men 2 » ?;Bryan Singer;Brett Ratner;Matthew Vaughn;Gavin Hood;Brett Ratner a réalisé « X-Men: L'Affrontement final », le troisième volet.;4;3;
super_heros;X-Men;Quel pouvoir possède le personnage de Tornade (Storm) chez les X-Men ?;Contrôler la météo;La télépathie;La téléportation;La super-force;"Tornade manipule vents, foudre et tempêtes ; elle est jouée par Halle Berry.";3;3;
super_heros;X-Men;Quel acteur incarne le jeune Magneto dans « X-Men: Le Commencement » (2011) ?;Michael Fassbender;James McAvoy;Nicholas Hoult;Kevin Bacon;James McAvoy y joue le jeune Xavier et Kevin Bacon le vilain Sebastian Shaw.;4;4;
super_heros;Deadpool;Quel acteur incarne Deadpool au cinéma ?;Ryan Reynolds;Ryan Gosling;Chris Pratt;Josh Brolin;Ryan Reynolds porte le rôle depuis « Deadpool » (2016).;2;2;
super_heros;Deadpool;Quelle particularité narrative distingue Deadpool des autres héros à l'écran ?;Il brise le quatrième mur;Il est invisible;Il lit dans les pensées;Il ne parle jamais;Deadpool s'adresse directement au spectateur, conscient d'être dans un film.;3;3;
super_heros;Deadpool;Quel acteur incarne Cable dans « Deadpool 2 » (2018) ?;Josh Brolin;Ryan Reynolds;Michael Shannon;Stephen Lang;Josh Brolin joue Cable la même année où il interprète Thanos chez Marvel.;4;4;
super_heros;Blade;Quel acteur incarne le chasseur de vampires Blade dans le film de 1998 ?;Wesley Snipes;Denzel Washington;Michael Jai White;Laurence Fishburne;« Blade » (1998) est l'un des premiers succès d'une adaptation Marvel moderne.;4;4;
super_heros;Ghost Rider;Quel acteur incarne Ghost Rider dans le film de 2007 ?;Nicolas Cage;Keanu Reeves;Ryan Reynolds;Eric Bana;Nicolas Cage joue Johnny Blaze, motard au crâne enflammé.;4;4;
super_heros;Daredevil;Quel acteur incarne Daredevil dans le film de 2003 ?;Ben Affleck;Charlie Cox;Colin Farrell;Jon Bernthal;"Ben Affleck joue Matt Murdock au cinéma ; Charlie Cox incarnera le rôle en série.";4;3;
super_heros;Venom;Quel acteur incarne Eddie Brock / Venom dans le film de 2018 ?;Tom Hardy;Tom Holland;Topher Grace;Riz Ahmed;Tom Hardy joue le journaliste lié au symbiote extraterrestre.;3;2;
super_heros;Les 4 Fantastiques;Quel membre des Quatre Fantastiques peut s'enflammer et voler ?;La Torche humaine;La Chose;Mister Fantastic;La Femme invisible;Johnny Storm, la Torche humaine, s'embrase en criant « Flamme à volonté ! ».;3;3;
super_heros;Séries animées;Quel est le titre de la série animée Marvel de 2024 qui prolonge le dessin animé « X-Men » des années 1990 ?;X-Men '97;X-Men: Evolution;Wolverine and the X-Men;X-Men: Legends;« X-Men '97 » reprend le style et les voix de la série culte diffusée dès 1992.;4;4;
super_heros;Batman;Quel acteur incarne Batman dans la trilogie de Christopher Nolan ?;Christian Bale;Ben Affleck;Michael Keaton;Robert Pattinson;Christian Bale joue Bruce Wayne dans les trois films (2005-2012).;2;2;
super_heros;Batman;Qui a réalisé la trilogie « The Dark Knight » ?;Christopher Nolan;Zack Snyder;Tim Burton;Matt Reeves;Christopher Nolan a coécrit et réalisé les trois films.;2;2;
super_heros;Batman;Quel acteur incarne le Joker dans « The Dark Knight » (2008) ?;Heath Ledger;Jack Nicholson;Joaquin Phoenix;Jared Leto;Heath Ledger livre une prestation devenue légendaire, récompensée d'un Oscar.;2;1;
super_heros;Batman;Quel acteur a reçu un Oscar à titre posthume pour son interprétation du Joker ?;Heath Ledger;Joaquin Phoenix;Jack Nicholson;Jared Leto;Heath Ledger, décédé en 2008, a reçu l'Oscar du meilleur second rôle pour « The Dark Knight ».;4;3;
super_heros;Batman;Dans quelle ville fictive Batman combat-il le crime ?;Gotham City;Metropolis;Central City;Star City;"Metropolis est la ville de Superman ; Gotham est plus sombre et gothique.";1;1;
super_heros;Batman;Quelle est l'identité secrète de Batman ?;Bruce Wayne;Clark Kent;Hal Jordan;Oliver Queen;Bruce Wayne est un milliardaire orphelin devenu justicier masqué.;1;1;
super_heros;Batman;Quel acteur incarne Batman dans les films de Tim Burton (1989) ?;Michael Keaton;Val Kilmer;George Clooney;Adam West;"Kilmer et Clooney reprendront le rôle plus tard ; Adam West l'incarnait à la télévision des années 1960.";3;2;
super_heros;Batman;Quel acteur incarne le Joker dans le « Batman » de Tim Burton (1989) ?;Jack Nicholson;Heath Ledger;Danny DeVito;Jack Palance;Danny DeVito jouera le Pingouin dans « Batman : Le Défi » (1992).;3;3;
super_heros;Batman;Quel personnage Danny DeVito incarne-t-il dans « Batman : Le Défi » (1992) ?;Le Pingouin;Le Joker;Le Sphinx;Double-Face;Le Pingouin (Oswald Cobblepot) est un vilain difforme et machiavélique.;3;3;
super_heros;Batman;Qui a réalisé « Batman & Robin » (1997), souvent cité comme un échec de la saga ?;Joel Schumacher;Tim Burton;Christopher Nolan;Zack Snyder;Joel Schumacher avait déjà réalisé « Batman Forever » (1995).;4;4;
super_heros;Batman;Quel acteur incarne Batman dans « The Batman » (2022) ?;Robert Pattinson;Christian Bale;Ben Affleck;Robert Downey Jr.;Robert Pattinson y joue un Bruce Wayne jeune et tourmenté.;2;2;
