theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif;type_question;image_ref
world_of_warcraft;lore;Qui est le Roi-liche affronté durant l’extension Wrath of the Lich King ?;Arthas Menethil;Balnazzar;Varimathras;Tichondrius;Arthas, fusionné avec l’esprit de Ner’zhul, règne sur le Fléau depuis le Trône de glace en Norfendre.;1;3;;texte;
world_of_warcraft;lore;De quel royaume humain Arthas était-il le prince héritier ?;Lordaeron;Hurlevent;Kul Tiras;Gilnéas;Arthas était le fils du roi Terenas Menethil II, souverain de Lordaeron.;2;3;;texte;
world_of_warcraft;lore;De quelle épée maudite Arthas s’empare-t-il en Norfendre ?;Deuillegivre;Hurlesang;Sulfuras;Val’anyr;Deuillegivre (Frostmourne) dévore les âmes de ses victimes et a coûté à Arthas la sienne.;1;3;;texte;
world_of_warcraft;lore;Quel roi Arthas assassine-t-il à son retour triomphal à Lordaeron ?;Terenas Menethil;Anastérian Haut-soleil;Llane Wrynn;Genn Grisetête;Arthas transperce son propre père sur son trône, scellant la chute du royaume de Lordaeron.;2;3;;texte;
world_of_warcraft;lore;Quelle capitale elfique Arthas ravage-t-il pour ressusciter Kel’Thuzad ?;Lune-d’argent;Darnassus;Shattrath;L’Exodar;Arthas traverse Quel’Thalas et profane le Puits solaire pour ramener le nécromancien.;2;3;;texte;
world_of_warcraft;lore;Quel démon de la Légion a créé le Roi-liche à partir de l’esprit de Ner’zhul ?;Kil’jaeden;Archimonde;Sargeras;Mannoroth;Kil’jaeden enferma l’esprit du chaman orc Ner’zhul dans le Trône de glace pour en faire son arme.;3;4;;texte;
world_of_warcraft;lore;Qui est le chef de guerre de la Horde à l’époque de Classic ?;Thrall;Varok Saurcroc;Rexxar;Eitrigg;Thrall, fils de Durotan, a libéré les orcs des camps d’internement et fondé Durotar.;1;3;;texte;
world_of_warcraft;lore;De quel clan orc Thrall est-il issu ?;Le clan Loup-de-givre;Le clan Chanteguerre;Le clan Gueule-de-dragon;Le clan Rochenoire;Thrall est le fils de Durotan, chef du clan Loup-de-givre exilé dans la vallée d’Alterac.;3;4;;texte;
world_of_warcraft;lore;Qui règne sur les Réprouvés depuis la Fossoyeuse ?;Sylvanas Coursevent;Nathanos le Flétrisseur;Varimathras;L’apothicaire Faranell;L’ancienne générale elfe, devenue banshee, a libéré les morts-vivants de l’emprise du Roi-liche.;1;3;;texte;
world_of_warcraft;lore;Quelle fonction Sylvanas occupait-elle de son vivant ?;Général des forestiers de Lune-d’argent;Grande prêtresse d’Élune;Archimage de Dalaran;Capitaine de la garde de Lordaeron;Elle commandait les forestiers de Quel’Thalas et fut tuée par Arthas, qui la releva en banshee.;4;5;;texte;
