theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif
kaamelott;Intrigue;De quel chevalier la reine Guenièvre finit-elle par tomber amoureuse ?;Lancelot;Perceval;Gauvain;Yvain;L'amour de Lancelot et Guenièvre, hérité de la légende, déchire peu à peu la cour de Kaamelott.;2;3;
kaamelott;Intrigue;Quel ancien bras droit d'Arthur finit par le trahir et quitter la Table ronde ?;Lancelot;Bohort;Léodagan;Karadoc;Lancelot rompt avec Arthur puis entre en rébellion, poussé par sa jalousie et sa rigueur.;2;3;
kaamelott;Intrigue;Avec la femme de quel chevalier le roi Arthur entretient-il une liaison ?;Karadoc;Bohort;Yvain;Loth;Arthur s'éprend de Mevanwi, l'épouse de Karadoc, ce qui bouleverse tout le royaume.;2;3;
kaamelott;Univers;Comment évolue le ton de la série au fil des Livres ?;De plus en plus sombre;De plus en plus léger;De plus en plus enfantin;Il reste identique;Comédie légère au départ, Kaamelott devient de plus en plus dramatique jusqu'au Livre VI.;2;3;
kaamelott;Univers;D'où le roi Arthur a-t-il retiré l'épée Excalibur selon la légende ?;D'un rocher;D'un lac gelé;D'un vieux chêne;D'un tombeau;Retirer l'épée du rocher est le signe qui désigne Arthur comme roi légitime.;2;2;
kaamelott;Univers;Comment s'appelle le père d'Arthur dans la légende reprise par la série ?;Uther Pendragon;Loth d'Orcanie;Léodagan;Calogrenant;"Uther Pendragon est le père d'Arthur ; Arthur en hérite le nom de Pendragon.";2;3;
kaamelott;Univers;De quel cycle légendaire la série Kaamelott tire-t-elle ses personnages ?;La légende arthurienne;La mythologie grecque;Les sagas vikings;La chanson de Roland;Kaamelott revisite sur le mode burlesque le cycle du roi Arthur et de la Table ronde.;2;2;
kaamelott;Personnages;Quel est le nom de famille du roi Arthur ?;Pendragon;de Logres;de Kaamelott;de Bretagne;Arthur Pendragon tient ce nom de son père, le roi Uther Pendragon.;2;3;
kaamelott;Personnages;Quel chevalier est incapable de compter correctement et se perd sans arrêt ?;Perceval;Bohort;Gauvain;Yvain;Perceval mélange les chiffres et les directions, source de nombreux gags.;2;3;
kaamelott;Intrigue;Quel roi allié se révèle un traître récurrent, prêt à comploter contre Arthur ?;Loth;Calogrenant;Bohort;Karadoc;Loth d'Orcanie change de camp selon ses intérêts et soutient la rébellion.;2;4;
kaamelott;Personnages;Quel personnage est la belle-mère envahissante et acariâtre d'Arthur ?;Séli;Cryda;Ygerne;Mevanwi;Séli, mère de Guenièvre, ne cesse de critiquer son gendre le roi.;2;4;
kaamelott;Répliques;Quels deux chevaliers forment le duo le plus stupide de la Table ronde ?;Perceval et Karadoc;Lancelot et Bohort;Yvain et Gauvain;Loth et Galessin;Perceval et Karadoc enchaînent les raisonnements absurdes, pour le plus grand désespoir d'Arthur.;2;3;
kaamelott;Personnages;Comment les chevaliers de la Table ronde sont-ils globalement présentés ?;Comme des incapables;Comme de fins stratèges;Comme de grands érudits;Comme des saints;La série tire son comique de l'incompétence chronique des chevaliers.;2;3;
kaamelott;Personnages;Quel jeune chevalier fougueux est le neveu du roi Arthur ?;Gauvain;Yvain;Galessin;Kadoc;Gauvain, fils de Loth, est le neveu impétueux d'Arthur.;2;4;
kaamelott;Personnages;Quelle figure magique n'apparaît, le plus souvent, qu'aux yeux du seul Arthur ?;La Dame du Lac;Guenièvre;Séli;Mevanwi;La Dame du Lac guide Arthur mais reste invisible pour presque tous les autres.;2;4;
kaamelott;Personnages;Quel chevalier, sérieux et élégant, méprise ouvertement la bêtise des autres ?;Lancelot;Karadoc;Perceval;Léodagan;Lancelot, rigide et exigeant, supporte de moins en moins la médiocrité de la cour.;2;3;
kaamelott;Univers;Quel objet le roi Arthur doit-il protéger et ne jamais perdre ?;Excalibur;Le Graal;La couronne;Le sceptre;Excalibur, l'épée du roi, symbolise sa légitimité tout au long de la série.;2;2;
kaamelott;Univers;Quelle est la grande particularité de l'humour dans les dialogues de Kaamelott ?;Un langage moderne et anachronique;Un latin soutenu;Des dialogues chantés;Des vers rimés;Les personnages parlent une langue résolument moderne, en décalage avec le décor médiéval.;2;3;
kaamelott;Univers;Sur quelle île le roi Arthur cherche-t-il à régner ?;L'île de Bretagne;La Sicile;L'Irlande;L'Islande;Arthur règne sur l'île de Bretagne, cœur du royaume de Logres.;2;3;
kaamelott;Univers;À quel objet le Graal est-il traditionnellement associé ?;Une coupe;Une épée;Une couronne;Un bouclier;Le Graal est le plus souvent représenté comme une coupe sacrée, objet de la quête d'Arthur.;2;2;
kaamelott;Intrigue;Quel célèbre triangle amoureux la série reprend-elle à la légende ?;Arthur, Guenièvre et Lancelot;Arthur, Merlin et Morgane;Arthur, Séli et Loth;Perceval, Karadoc et Bohort;Le triangle Arthur-Guenièvre-Lancelot est un ressort dramatique central de Kaamelott.;2;3;
kaamelott;Univers;Comment appelle-t-on les hommes réunis autour de la fameuse table du roi ?;Les chevaliers;Les barons;Les écuyers;Les sénéchaux;Les chevaliers de la Table ronde siègent autour d'Arthur pour les affaires du royaume.;1;1;
kaamelott;Intrigue;Après avoir découvert la liaison d'Arthur, où Guenièvre part-elle vivre ?;Chez Lancelot, dans la forêt;Chez ses parents;Dans un couvent;À Rome;Blessée par la trahison d'Arthur, Guenièvre rejoint Lancelot réfugié en forêt.;2;4;
kaamelott;Univers;Dans la légende, quelle figure remet l'épée Excalibur au roi Arthur ?;La Dame du Lac;Merlin;Uther;Le pape;Selon la tradition, c'est la Dame du Lac qui confie Excalibur à Arthur.;2;3;
kaamelott;Personnages;Quelle est la particularité du roi burgonde lors de ses apparitions ?;Il parle une langue incompréhensible;Il est totalement muet;Il ne se bat jamais;Il est invisible;Les tirades incompréhensibles du roi burgonde sont un running gag de la série.;2;4;
kaamelott;Univers;De quel genre Kaamelott fait-elle avant tout la parodie ?;L'heroic fantasy médiévale;Le western;La science-fiction;Le film noir;Kaamelott détourne avec humour les codes de la fantasy médiévale et de la légende arthurienne.;2;3;
kaamelott;Production;En quelle année s'est achevée la diffusion de Kaamelott sur M6 ?;2009;2007;2011;2013;La série a été diffusée de 2005 à 2009, le Livre VI clôturant la partie télévisée.;2;3;
kaamelott;Personnages;De quel roi la reine Guenièvre est-elle la fille ?;Léodagan;Loth;Calogrenant;Bohort;Guenièvre est la fille de Léodagan, roi de Carmélide, et de Séli.;2;4;
kaamelott;Univers;Quel enchanteur est, dans la légende, le conseiller du jeune Arthur ?;Merlin;Élias;Dagonet;Loth;Merlin, mentor traditionnel d'Arthur, devient dans la série un druide maladroit.;2;3;
kaamelott;Univers;À quelle figure religieuse le Graal est-il associé dans la tradition chrétienne ?;Jésus-Christ;Charlemagne;Saint Pierre;Le roi Salomon;Le Graal est associé au sang du Christ, ce qui en fait une relique sacrée à retrouver.;2;2;
kaamelott;Intrigue;Les chevaliers réussissent-ils la quête du Graal au cours de la série ?;Non, ils échouent;Oui, dès le Livre I;Oui, au Livre III;Elle est confiée à Merlin;La quête du Graal reste un échec permanent, ressort comique puis dramatique de la série.;2;3;
kaamelott;Intrigue;Arthur a-t-il un enfant légitime avec la reine Guenièvre ?;Non, aucun;Oui, un fils;Oui, une fille;Oui, des jumeaux;L'absence d'héritier pousse Arthur, plus tard, à rechercher désespérément une descendance.;2;3;
kaamelott;Univers;Comment Arthur prouve-t-il, dans la légende, qu'il est le roi légitime ?;En retirant l'épée du rocher;En gagnant un tournoi;En terrassant un dragon;En épousant une reine;Seul le roi légitime peut retirer l'épée du rocher, exploit qu'accomplit Arthur.;2;2;
kaamelott;Univers;De quel lieu de la légende arthurienne le nom « Kaamelott » s'inspire-t-il ?;Camelot;Avalon;Tintagel;Brocéliande;Le château de Kaamelott reprend, avec une orthographe stylisée, la mythique Camelot.;2;3;
kaamelott;Univers;Dans la légende, comment se nomme l'île associée à la fin du roi Arthur ?;Avalon;Tintagel;Logres;Carmélide;Avalon est l'île mythique vers laquelle Arthur est emmené à la fin de la légende.;2;3;
kaamelott;Production;De quelle nationalité est la série Kaamelott ?;Française;Belge;Britannique;Canadienne;Kaamelott est une série française créée par Alexandre Astier.;1;1;
kaamelott;Intrigue;Pourquoi Arthur multiplie-t-il les aventures hors mariage ?;Son mariage est sans amour;Guenièvre l'y oblige;C'est une tradition royale;Merlin le lui ordonne;Arthur n'aime pas Guenièvre, ce qu'il finira par avouer sous l'effet d'une potion.;2;3;
